Strategy,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20,Exp21,Exp22,Exp23,Exp24,Exp25,Exp26,Exp27,Exp28,Exp29,Exp30,Exp31,Exp32,Exp33,Exp34,Exp35,Exp36,Exp37,Exp38,Exp39,Exp40,Exp41,Exp42,Exp43,Exp44,Exp45,Exp46,Exp47,Exp48,Exp49,Exp50,Average
StandardT4TPlayer,441.13,441.15,441.13,441.13,441.07,441.13,441.10,441.11,441.16,441.08,441.17,441.12,441.16,441.10,441.12,441.15,441.13,441.13,441.13,441.09,441.14,441.14,441.09,441.20,441.13,441.13,441.10,441.13,441.12,441.08,441.13,441.14,441.14,441.12,441.09,441.14,441.08,441.18,441.18,441.10,441.15,441.13,441.14,441.11,441.14,441.14,441.17,441.13,441.12,441.16,441.13
StandardT42TPlayer,438.00,438.08,438.06,438.06,438.01,438.02,438.06,438.05,438.00,438.04,438.01,438.07,438.03,438.05,437.99,438.07,438.03,438.08,438.07,438.04,438.07,438.04,438.06,438.00,438.00,437.99,438.06,437.99,438.03,438.01,438.06,438.01,438.08,438.07,438.01,438.02,438.03,437.99,438.02,438.04,438.00,438.00,438.03,438.05,438.03,438.06,438.03,438.00,438.07,438.05,438.03
StandardT43TPlayer,434.88,435.01,434.88,434.96,434.90,434.92,434.91,434.96,434.96,434.98,434.95,434.93,434.96,434.93,434.95,434.97,434.98,434.94,434.97,435.00,434.97,434.92,434.94,434.89,434.90,434.93,434.97,434.93,434.94,434.98,434.92,434.94,434.96,434.91,435.05,435.01,434.95,434.89,434.90,434.87,434.99,434.93,434.95,434.92,434.98,434.94,434.97,435.01,434.95,434.93,434.95
StandardT44TPlayer,431.96,431.82,431.84,431.94,431.84,431.89,431.73,431.87,431.88,431.90,431.81,431.83,431.77,431.82,431.83,431.68,431.88,431.95,431.88,431.84,431.81,431.83,431.85,431.78,431.78,431.86,431.80,431.88,431.75,431.88,431.85,431.91,431.91,431.85,431.85,431.86,431.95,431.87,431.77,432.03,431.84,431.84,431.85,431.85,431.87,431.86,431.79,431.81,431.88,431.85,431.85
NastyPlayer12,386.01,385.99,385.99,386.06,386.10,386.02,386.12,386.01,386.04,386.04,386.01,386.10,385.99,386.09,385.98,386.08,386.03,386.07,386.00,385.94,385.96,386.05,385.98,386.13,386.11,386.02,385.96,386.03,386.13,386.01,385.93,386.01,386.03,386.08,385.97,385.98,386.02,386.02,386.10,386.07,386.08,386.06,386.04,386.14,386.05,386.12,386.04,386.09,385.97,386.07,386.04
NastyPlayer7,386.08,385.95,385.99,386.06,386.03,386.02,386.09,386.05,386.10,386.09,385.98,386.06,386.04,386.03,386.01,386.02,386.08,386.07,386.01,386.08,386.12,386.00,385.99,386.05,386.02,386.14,385.98,386.01,386.04,386.02,386.14,385.98,385.94,386.02,386.03,385.96,385.94,386.01,386.08,385.99,386.02,386.05,386.05,386.01,386.01,386.05,386.06,386.04,386.03,386.02,386.03
NastyPlayer9,385.95,386.05,386.03,386.00,385.92,386.05,386.00,385.98,386.03,385.96,386.02,386.01,386.13,386.04,386.04,386.07,386.03,386.01,386.02,385.98,385.99,386.05,386.11,385.99,386.04,386.08,386.11,386.00,386.03,386.02,386.08,386.09,386.07,385.99,386.03,386.02,386.00,386.06,386.09,386.04,386.03,386.01,386.02,386.06,386.06,386.04,386.07,386.04,385.98,386.01,386.03
NastyPlayer6,386.05,386.06,385.97,386.03,386.04,385.97,386.04,386.08,386.05,386.04,386.00,386.05,386.02,386.05,386.03,386.08,385.98,386.04,385.99,386.04,386.04,386.04,385.98,386.02,386.14,385.99,386.01,386.02,386.03,386.04,386.00,385.98,386.08,386.03,386.02,385.97,386.05,385.99,386.10,386.05,386.04,386.02,386.01,385.99,386.05,385.95,386.02,386.13,386.05,386.02,386.03
NastyPlayer10,385.95,385.96,386.10,385.97,386.06,386.02,386.06,386.06,385.97,386.01,386.07,386.05,386.08,386.07,386.08,386.09,386.00,386.04,385.98,386.08,386.08,386.07,385.96,386.04,385.98,386.02,385.96,386.10,385.94,385.97,385.98,386.01,386.02,385.97,386.01,386.01,386.05,386.06,386.05,386.04,386.07,386.06,385.99,386.12,386.06,385.99,385.99,386.04,386.01,386.00,386.03
NastyPlayer5,386.02,386.04,385.99,386.04,386.02,386.05,386.04,385.97,386.05,386.04,386.07,386.13,386.02,386.03,386.00,386.00,386.03,386.05,386.11,386.08,385.97,385.95,386.09,386.14,386.03,386.01,386.08,386.00,386.00,385.97,386.08,386.05,386.04,386.02,385.95,386.10,385.98,385.97,386.02,386.02,385.96,386.00,385.99,386.01,385.96,386.03,385.98,386.09,385.98,386.00,386.03
NastyPlayer2,386.05,386.04,385.97,385.91,386.06,386.09,386.11,386.06,386.05,385.94,386.12,386.11,386.03,386.06,386.00,386.05,385.97,385.96,386.02,386.00,385.99,386.09,385.92,386.01,385.98,386.06,386.03,386.06,386.07,385.85,386.08,386.00,386.05,386.08,386.10,385.97,386.01,386.10,386.05,385.99,385.98,386.00,385.99,386.02,386.03,386.03,385.99,385.95,386.11,386.03,386.02
NastyPlayer4,386.08,386.00,385.99,386.04,386.08,386.03,385.92,386.00,386.02,386.12,386.05,386.01,386.04,386.14,386.00,386.06,386.05,385.98,386.07,385.93,386.08,385.99,385.99,386.04,386.00,385.95,386.04,386.07,386.02,386.07,386.00,386.02,385.91,386.03,386.00,385.97,385.97,386.03,386.04,386.03,386.05,386.00,385.98,386.03,386.05,386.03,386.03,385.99,385.99,386.12,386.02
NastyPlayer13,385.99,385.94,386.06,385.99,386.03,385.99,386.07,386.01,386.05,386.06,386.00,386.01,385.98,386.09,385.99,386.08,385.94,385.95,385.95,386.07,386.06,385.99,386.04,386.11,385.96,385.98,386.05,386.07,385.99,386.04,386.13,386.03,385.92,386.05,386.06,386.06,386.00,386.10,386.00,386.01,386.02,386.04,385.96,385.91,385.96,386.05,386.09,386.08,386.05,386.07,386.02
NastyPlayer8,386.02,386.05,385.98,386.04,386.10,385.98,386.00,385.95,385.92,386.03,385.99,386.07,386.11,386.04,385.98,386.10,386.07,385.98,385.99,385.93,386.05,386.09,386.04,386.01,386.00,386.07,386.07,385.96,386.02,386.01,386.02,385.95,386.01,386.00,386.04,386.00,385.95,386.04,385.98,386.05,386.00,386.05,386.08,385.97,386.04,386.02,385.99,386.03,386.10,386.04,386.02
NastyPlayer11,386.02,386.02,386.03,385.94,386.02,386.12,386.05,385.95,386.04,385.94,386.02,386.12,386.04,386.02,386.02,386.10,386.03,385.99,386.14,386.05,386.01,386.13,386.00,386.11,386.02,385.95,386.03,386.04,386.10,385.96,386.02,386.02,385.93,386.05,385.95,386.02,386.02,385.98,385.97,385.97,385.96,386.05,385.97,386.03,385.88,385.97,385.97,386.04,386.09,386.09,386.02
NastyPlayer14,386.05,386.03,386.07,385.97,385.95,386.02,386.06,386.01,385.98,386.05,385.99,386.01,386.03,386.03,386.03,386.09,386.00,386.03,386.02,385.99,386.09,386.07,385.99,386.05,386.01,385.89,386.05,386.11,386.06,386.04,386.08,386.03,385.87,386.11,385.94,385.98,386.00,385.97,385.93,385.98,385.96,386.15,386.03,386.05,385.94,385.97,386.00,386.04,386.08,385.99,386.02
NastyPlayer1,385.98,385.89,385.96,386.03,386.04,386.02,386.05,385.94,386.04,385.97,385.97,385.97,386.04,386.10,385.96,386.06,385.92,385.96,386.05,386.03,385.94,386.00,386.02,385.99,386.05,386.00,386.05,386.02,385.98,386.00,386.05,386.04,386.02,386.05,386.02,386.04,385.96,386.01,385.97,386.01,386.02,386.11,386.01,386.06,386.10,385.99,386.08,386.09,386.01,386.06,386.02
NastyPlayer3,386.01,386.01,386.03,385.98,385.97,386.05,386.09,385.95,385.98,386.09,385.94,386.10,385.96,385.94,386.02,386.06,386.01,386.00,385.91,386.13,385.94,386.00,386.02,386.12,386.01,386.01,386.04,385.96,386.05,385.94,385.98,386.06,386.09,386.02,385.99,386.00,385.94,385.97,386.07,385.99,386.00,386.06,386.00,386.06,385.96,385.95,386.05,385.93,386.06,386.05,386.01
